"Name","Agent","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","beta1","beta2","corr_thr","drop_correlated","gamma","hand","learning_rate","minority_oversample","model","momentum","num_epochs","optimizer","patience","random_state","scaling_method","scheduler","seed","step_size","use_feature_scaling","use_scheduler","weight_decay","BS","ECE","FPR","NPV","PPV","TNR","TPR","accuracy","auroc","average_precision","confusion_matrix.fn","confusion_matrix.fp","confusion_matrix.tn","confusion_matrix.tp","dev_accuracy","dev_auroc","dev_balanced_accuracy","dev_f1","dev_loss","f1_score","loss","precision","recall","sensitivity","specificity","train_loss","weighted_accuracy"
"mild-sweep-20","","finished","-","","","2024-04-29T20:57:22.000Z","12","ft_both_hand_stats","256","0.9","0.999","0.85","no","0.8808588244592819","both","0.6246956232061768","no","ShallowANN","0.8046223742478498","82","SGD","3","703","StandardScaler","step","672","11","yes","no","0.0001","0.21503734482456285","0.13495507607093224","0.22302158273381295","0.75","0.515625","0.7769784172661871","0.4782608695652174","0.6778846153846154","0.7056615577103534","0.5362508995887634","36","31","108","33","0.669683257918552","0.6671905011349746","0.6494401378122308","0.5680473372781065","0.815700548266933","0.49624060150375937","0.8079933753380408","0.515625","0.4782608695652174","0.4782608695652174","0.7769784172661871","0.4903354048728943","0.6328125"
"magic-sweep-19","","finished","-","","","2024-04-29T20:57:15.000Z","13","ft_both_hand_stats","256","0.9","0.999","0.85","no","0.8808588244592819","both","0.6246956232061768","no","ShallowANN","0.8046223742478498","82","SGD","3","703","StandardScaler","step","908","11","yes","no","0.0001","0.20900845707679644","0.1347499481187417","0.2446043165467626","0.8015267175572519","0.5584415584415584","0.7553956834532374","0.6231884057971014","0.7115384615384616","0.7513293712855802","0.6241356967723033","26","34","105","43","0.6787330316742082","0.7019381875327397","0.6624536568924839","0.5942857142857143","0.8278108484604779","0.589041095890411","0.7494701972374549","0.5584415584415584","0.6231884057971014","0.6231884057971014","0.7553956834532374","1.0833444595336914","0.6799841379994052"
"generous-sweep-18","","finished","-","","","2024-04-29T20:57:10.000Z","12","ft_both_hand_stats","256","0.9","0.999","0.85","no","0.8808588244592819","both","0.6246956232061768","no","ShallowANN","0.8046223742478498","82","SGD","3","703","StandardScaler","step","431","11","yes","no","0.0001","0.20742716982962855","0.1183808620732564","0.22302158273381295","0.782608695652174","0.5571428571428572","0.7769784172661871","0.5652173913043478","0.7067307692307693","0.744239391095819","0.5738795857146856","30","31","108","39","0.665158371040724","0.6983586519993016","0.6556105610561056","0.5978260869565217","0.8066006483535422","0.5611510791366906","0.6958874188936673","0.5571428571428572","0.5652173913043478","0.5652173913043478","0.7769784172661871","0.698269784450531","0.6698757763975156"
"neat-sweep-17","","finished","-","","","2024-04-29T20:57:08.000Z","10","ft_both_hand_stats","256","0.9","0.999","0.85","no","0.8808588244592819","both","0.6246956232061768","no","ShallowANN","0.8046223742478498","82","SGD","3","703","StandardScaler","step","967","11","yes","no","0.0001","0.20263902655102953","0.11459406694540612","0.2589928057553957","0.8373983739837398","0.5764705882352941","0.7410071942446043","0.7101449275362319","0.7307692307692307","0.7500781983109165","0.6169483687855413","20","36","103","49","0.6606334841628959","0.7063034747686399","0.6501652892561984","0.5901639344262295","0.7651893305023332","0.6363636363636364","0.6818404564490685","0.5764705882352941","0.7101449275362319","0.7101449275362319","0.7410071942446043","0.609225332736969","0.706934481109517"
"blooming-sweep-16","","finished","-","","","2024-04-29T20:57:06.000Z","10","ft_both_hand_stats","256","0.9","0.999","0.85","no","0.8808588244592819","both","0.6246956232061768","no","ShallowANN","0.8046223742478498","82","SGD","3","703","StandardScaler","step","192","11","yes","no","0.0001","0.21169213458969333","0.13228731545118189","0.2517985611510791","0.8253968253968254","0.573170731707317","0.7482014388489209","0.6811594202898551","0.7259615384615384","0.7510165780419144","0.5818519494797181","22","35","104","47","0.6380090497737556","0.7060415575344858","0.6321428571428571","0.574468085106383","0.8380829133599053","0.6225165562913907","0.818022581247183","0.573170731707317","0.6811594202898551","0.6811594202898551","0.7482014388489209","0.6640734076499939","0.6992837785520711"
"dazzling-sweep-15","","finished","-","","","2024-04-29T20:56:59.000Z","13","ft_both_hand_stats","256","0.9","0.999","0.85","no","0.8808588244592819","both","0.6246956232061768","no","ShallowANN","0.8046223742478498","82","SGD","3","703","StandardScaler","step","134","11","yes","no","0.0001","0.1970561438065381","0.1342940362027058","0.1942446043165468","0.8421052631578947","0.64","0.8057553956834532","0.6956521739130435","0.7692307692307693","0.7641538942758836","0.6024467788415004","21","27","112","48","0.6470588235294118","0.7191374192421862","0.6476248976248976","0.5979381443298969","0.7967691550966841","0.6666666666666666","0.7135868072509766","0.64","0.6956521739130435","0.6956521739130435","0.8057553956834532","0.6493363976478577","0.7410526315789474"
"cosmic-sweep-14","","finished","-","","","2024-04-29T20:56:54.000Z","12","ft_both_hand_stats","256","0.9","0.999","0.85","no","0.8808588244592819","both","0.6246956232061768","no","ShallowANN","0.8046223742478498","82","SGD","3","703","StandardScaler","step","983","11","yes","no","0.0001","0.2087872296928171","0.13809906834593189","0.26618705035971224","0.8429752066115702","0.5747126436781609","0.7338129496402878","0.7246376811594203","0.7307692307692307","0.7639453654467729","0.6303825817495193","19","37","102","50","0.6380090497737556","0.7191374192421861","0.6264282165921511","0.5604395604395604","0.794401004843043","0.6410256410256411","0.798592420724722","0.5747126436781609","0.7246376811594203","0.7246376811594203","0.7338129496402878","0.5224145650863647","0.7088439251448655"
"driven-sweep-13","","finished","-","","","2024-04-29T20:56:52.000Z","10","ft_both_hand_stats","256","0.9","0.999","0.85","no","0.8808588244592819","both","0.6246956232061768","no","ShallowANN","0.8046223742478498","82","SGD","3","703","StandardScaler","step","965","11","yes","no","0.0001","0.2275913869430679","0.1184225864708424","0.30935251798561153","0.8","0.5113636363636364","0.6906474820143885","0.6521739130434783","0.6778846153846154","0.714211239703889","0.5795609547807472","24","43","96","45","0.6199095022624435","0.6643967173039986","0.6119795951949976","0.5483870967741935","0.7531298469094669","0.5732484076433121","0.7088187291071966","0.5113636363636364","0.6521739130434783","0.6521739130434783","0.6906474820143885","0.6575775742530823","0.6556818181818183"
"silvery-sweep-12","","finished","-","","","2024-04-29T20:56:51.000Z","10","ft_both_hand_stats","256","0.9","0.999","0.85","no","0.8808588244592819","both","0.6246956232061768","no","ShallowANN","0.8046223742478498","82","SGD","3","703","StandardScaler","step","576","11","yes","no","0.0001","0.1877286559325844","0.11991502172671832","0.2158273381294964","0.8257575757575758","0.6052631578947368","0.7841726618705036","0.6666666666666666","0.7451923076923077","0.7745803357314149","0.5952480806219231","23","30","109","46","0.6470588235294118","0.6985332634887376","0.6338543398736283","0.5666666666666667","0.8121593354514282","0.6344827586206897","0.7196486546443059","0.6052631578947368","0.6666666666666666","0.6666666666666666","0.7841726618705036","0.6651305556297302","0.7155103668261563"
"fine-sweep-11","","finished","-","","","2024-04-29T20:56:44.000Z","10","ft_both_hand_stats","256","0.9","0.999","0.85","no","0.8808588244592819","both","0.6246956232061768","no","ShallowANN","0.8046223742478498","82","SGD","3","703","StandardScaler","step","968","11","yes","no","0.0001","0.2060593676600718","0.12354948916114292","0.23741007194244604","0.7969924812030075","0.56","0.762589928057554","0.6086956521739131","0.7115384615384616","0.7260973829631947","0.5991336366767332","27","33","106","42","0.669683257918552","0.7184389732844421","0.6592975206611571","0.6010928961748634","0.7605619818916148","0.5833333333333334","0.7589662258441632","0.56","0.6086956521739131","0.6086956521739131","0.762589928057554","0.7207105159759521","0.6784962406015038"
