"Name","Agent","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","beta1","beta2","corr_thr","drop_correlated","dropout_prob","gamma","hidden_dim","increase_variance","last_hidden_dim","learning_rate","minority_oversample","model","model_subset_choice","momentum","noise_variance","num_buckets","num_epochs","num_trials","optimizer","patience","random_state","sampler","scaling_method","scheduler","seed","step_size","temperature","train_random_noise","use_feature_scaling","use_scheduler","validation_random_noise","weight_decay","BS","ECE","FPR","NPV","PPV","TNR","TPR","accuracy","auroc","average_precision","confusion_matrix.fn","confusion_matrix.fp","confusion_matrix.tn","confusion_matrix.tp","dev_accuracy","dev_auroc","dev_balanced_accuracy","dev_ece","dev_f1","dev_loss","f1_score","loss","precision","recall","sensitivity","specificity","train_loss","weighted_accuracy"
"comic-sweep-14","","finished","-","","","2024-05-01T16:46:21.000Z","11","neural_late_fusion_stats","512","0.9","0.999","","","","0.7953510793667574","128","no","4","0.04151179706977408","no","","0","0.13417354337700677","0.565011755638535","","59","","SGD","19","957","ADASYN","","reduce","787","9","0.5059772368291524","no","","no","no","0.0001","0.16702051085473682","0.28489595076759455","0.1007751937984496","0.935483870967742","0.821917808219178","0.8992248062015504","0.8823529411764706","0.8934010152284264","0.953374373005016","0.917945981534317","8","13","116","60","0.8418604651162791","0.9436090225563908","0.8313333333333334","","0.8023255813953488","0.5267726099768351","0.851063829787234","0.5225462937718115","0.821917808219178","0.8823529411764706","0.8823529411764706","0.8992248062015504","0.4746251106262207","0.8787008395934599"
"zesty-sweep-13","","finished","-","","","2024-05-01T16:46:07.000Z","10","neural_late_fusion_stats","512","0.9","0.999","","","","0.7953510793667574","128","no","4","0.04151179706977408","no","","0","0.13417354337700677","0.565011755638535","","59","","SGD","19","957","ADASYN","","reduce","382","9","0.5059772368291524","no","","no","no","0.0001","0.2241606832278759","0.19733118950412964","0.3798449612403101","0.975609756097561","0.5739130434782609","0.6201550387596899","0.9705882352941176","0.7411167512690355","0.9409484724122208","0.897108260658774","2","49","80","66","0.7581395348837209","0.9381074637814047","0.8007940854326396","","0.7570093457943925","0.6350706588390261","0.7213114754098361","0.6408498154073803","0.5739130434782609","0.9705882352941176","0.9705882352941176","0.6201550387596899","0.5896286964416504","0.7747613997879109"
"expert-sweep-12","","finished","-","","","2024-05-01T16:46:07.000Z","11","neural_late_fusion_stats","512","0.9","0.999","","","","0.7953510793667574","128","no","4","0.04151179706977408","no","","0","0.13417354337700677","0.565011755638535","","59","","SGD","19","957","ADASYN","","reduce","548","9","0.5059772368291524","no","","no","no","0.0001","0.1395217131284821","0.22308542129352005","0.09302325581395347","0.9140625","0.8260869565217391","0.9069767441860463","0.8382352941176471","0.883248730964467","0.9458504331965344","0.9028669897030208","11","12","117","57","0.8604651162790697","0.944801026957638","0.8511077896957975","","0.8295454545454546","0.4591133295103561","0.8321167883211679","0.4595421340864927","0.8260869565217391","0.8382352941176471","0.8382352941176471","0.9069767441860463","0.4002216160297394","0.8700747282608696"
"polished-sweep-11","","finished","-","","","2024-05-01T16:46:06.000Z","11","neural_late_fusion_stats","512","0.9","0.999","","","","0.7953510793667574","128","no","4","0.04151179706977408","no","","0","0.13417354337700677","0.565011755638535","","59","","SGD","19","957","ADASYN","","reduce","650","9","0.5059772368291524","no","","no","no","0.0001","0.1541949682725413","0.24292049976774885","0.13953488372093023","0.9098360655737704","0.76","0.8604651162790697","0.8382352941176471","0.8527918781725888","0.9408344733242132","0.9037220988857092","11","18","111","57","0.8232558139534883","0.9147258389877132","0.8141631652661064","","0.7865168539325843","0.5167749449264172","0.7972027972027972","0.49268840654247303","0.76","0.8382352941176471","0.8382352941176471","0.8604651162790697","0.45357975363731384","0.8349180327868853"
"cosmic-sweep-10","","finished","-","","","2024-05-01T16:46:05.000Z","11","neural_late_fusion_stats","512","0.9","0.999","","","","0.7953510793667574","128","no","4","0.04151179706977408","no","","0","0.13417354337700677","0.565011755638535","","59","","SGD","19","957","ADASYN","","reduce","376","9","0.5059772368291524","no","","no","no","0.0001","0.13180481903068905","0.224229578741916","0.09302325581395347","0.936","0.8333333333333334","0.9069767441860463","0.8823529411764706","0.8984771573604061","0.9505243958048336","0.9130938302267828","8","12","117","60","0.8558139534883721","0.9497524298551256","0.8457550514002127","","0.8208092485549133","0.43841879201489825","0.8571428571428571","0.4401306694534224","0.8333333333333334","0.8823529411764706","0.8823529411764706","0.9069767441860463","0.3624492287635803","0.8846666666666667"
"smart-sweep-9","","finished","-","","","2024-05-01T16:45:52.000Z","11","neural_late_fusion_stats","512","0.9","0.999","","","","0.7953510793667574","128","no","4","0.04151179706977408","no","","0","0.13417354337700677","0.565011755638535","","59","","SGD","19","957","ADASYN","","reduce","372","9","0.5059772368291524","no","","no","no","0.0001","0.23044439598399857","0.14623472049151576","0.007751937984496124","0.6772486772486772","0.875","0.992248062015504","0.10294117647058824","0.6852791878172588","0.7999316005471956","0.7021711940821077","61","1","128","7","0.627906976744186","0.858793324775353","0.812206572769953","","0.047619047619047616","0.6555543411609739","0.18421052631578944","0.6538719525797113","0.875","0.10294117647058824","0.10294117647058824","0.992248062015504","0.6608934998512268","0.7761243386243386"
"light-sweep-8","","finished","-","","","2024-05-01T16:45:51.000Z","10","neural_late_fusion_stats","512","0.9","0.999","","","","0.7953510793667574","128","no","4","0.04151179706977408","no","","0","0.13417354337700677","0.565011755638535","","59","","SGD","19","957","ADASYN","","reduce","872","9","0.5059772368291524","no","","no","no","0.0001","0.19310272118786168","0.2998148214998584","0.05426356589147287","0.8714285714285714","0.8771929824561403","0.9457364341085271","0.7352941176470589","0.8730964467005076","0.94140446876425","0.903720656094789","18","7","122","50","0.8558139534883721","0.904823033192738","0.8542349990353078","","0.8","0.5941783816315407","0.8","0.5779186965245281","0.8771929824561403","0.7352941176470589","0.7352941176470589","0.9457364341085271","0.5595421195030212","0.8743107769423559"
"exalted-sweep-7","","finished","-","","","2024-05-01T16:45:50.000Z","10","neural_late_fusion_stats","512","0.9","0.999","","","","0.7953510793667574","128","no","4","0.04151179706977408","no","","0","0.13417354337700677","0.565011755638535","","59","","SGD","19","957","ADASYN","","reduce","809","9","0.5059772368291524","no","","no","no","0.0001","0.15616870329735927","0.22869290494676772","0.08527131782945736","0.8805970149253731","0.8253968253968254","0.9147286821705426","0.7647058823529411","0.8629441624365483","0.9339945280437756","0.8953099909136962","16","11","118","52","0.8372093023255814","0.8922611406565193","0.8264637212643677","","0.7928994082840237","0.5300308937250182","0.7938931297709924","0.497675242157757","0.8253968253968254","0.7647058823529411","0.7647058823529411","0.9147286821705426","0.4633158147335053","0.8529969201610992"
"gentle-sweep-6","","finished","-","","","2024-05-01T16:45:49.000Z","10","neural_late_fusion_stats","512","0.9","0.999","","","","0.7953510793667574","128","no","4","0.04151179706977408","no","","0","0.13417354337700677","0.565011755638535","","59","","SGD","19","957","ADASYN","","reduce","110","9","0.5059772368291524","no","","no","no","0.0001","0.17388672012487663","0.24745886095889327","0.11627906976744186","0.8976377952755905","0.7857142857142857","0.8837209302325582","0.8088235294117647","0.8578680203045685","0.9149566803465572","0.8556539561189361","13","15","114","55","0.8604651162790697","0.9226114065651936","0.8511077896957975","","0.8295454545454546","0.5251210767169331","0.7971014492753623","0.5364534407097676","0.7857142857142857","0.8088235294117647","0.8088235294117647","0.8837209302325582","0.4910161793231964","0.8416760404949382"
"vague-sweep-4","","finished","-","","","2024-05-01T16:45:36.000Z","13","neural_late_fusion_stats","512","0.9","0.999","","","","0.7953510793667574","128","no","4","0.04151179706977408","no","","0","0.13417354337700677","0.565011755638535","","59","","SGD","19","957","ADASYN","","reduce","105","9","0.5059772368291524","no","","no","no","0.0001","0.20419171292516428","0.26951811065528597","0.17829457364341086","0.913793103448276","0.7160493827160493","0.8217054263565892","0.8529411764705882","0.8324873096446701","0.9118787049703604","0.8535409590801082","10","23","106","58","0.8325581395348837","0.9273794241701816","0.8309676302579193","","0.8085106382978723","0.5940905903660973","0.7785234899328859","0.6002293698073644","0.7160493827160493","0.8529411764705882","0.8529411764705882","0.8217054263565892","0.573652446269989","0.8149212430821626"
"hearty-sweep-5","","finished","-","","","2024-05-01T16:45:36.000Z","13","neural_late_fusion_stats","512","0.9","0.999","","","","0.7953510793667574","128","no","4","0.04151179706977408","no","","0","0.13417354337700677","0.565011755638535","","59","","SGD","19","957","ADASYN","","reduce","490","9","0.5059772368291524","no","","no","no","0.0001","0.18662947541637925","0.2700139792437481","0.09302325581395347","0.8796992481203008","0.8125","0.9069767441860463","0.7647058823529411","0.8578680203045685","0.9105107159142728","0.8544920171925073","16","12","117","52","0.8418604651162791","0.9149092242802128","0.8312455261274159","","0.8","0.5565537918445675","0.7878787878787878","0.5641069363821581","0.8125","0.7647058823529411","0.7647058823529411","0.9069767441860463","0.5276824831962585","0.8460996240601504"
"vibrant-sweep-3","","finished","-","","","2024-05-01T16:45:35.000Z","13","neural_late_fusion_stats","512","0.9","0.999","","","","0.7953510793667574","128","no","4","0.04151179706977408","no","","0","0.13417354337700677","0.565011755638535","","59","","SGD","19","957","ADASYN","","reduce","545","9","0.5059772368291524","no","","no","no","0.0001","0.2008076785780972","0.3130067281311539","0.08527131782945736","0.8939393939393939","0.8307692307692308","0.9147286821705426","0.7941176470588235","0.8730964467005076","0.9461924304605565","0.9124526745125896","14","11","118","54","0.8465116279069768","0.9252704933064368","0.8364253393665158","","0.8023952095808383","0.6023105355196221","0.8120300751879699","0.5938893429518957","0.8307692307692308","0.7941176470588235","0.7941176470588235","0.9147286821705426","0.5769073963165283","0.8623543123543124"
"polar-sweep-2","","finished","-","","","2024-05-01T16:45:34.000Z","13","neural_late_fusion_stats","512","0.9","0.999","","","","0.7953510793667574","128","no","4","0.04151179706977408","no","","0","0.13417354337700677","0.565011755638535","","59","","SGD","19","957","ADASYN","","reduce","526","9","0.5059772368291524","no","","no","no","0.0001","0.23114217625363484","0.1273781844807155","0","0.6548223350253807","0","1","0","0.6548223350253807","0.7144322845417237","0.5873359301590455","68","0","129","0","0.6186046511627907","0.8162479369154594","0.30930232558139537","","0","0.6569781636082849","0","0.6552237108879283","0","0","0","1","0.6595625281333923","0.32741116751269034"
"prime-sweep-1","","finished","-","","","2024-05-01T16:45:08.000Z","11","neural_late_fusion_stats","512","0.9","0.999","","","","0.7953510793667574","128","no","4","0.04151179706977408","no","","0","0.13417354337700677","0.565011755638535","","59","","SGD","19","957","ADASYN","","reduce","163","9","0.5059772368291524","no","","no","no","0.0001","0.17795793551399078","0.2533139737729494","0.16279069767441862","0.9310344827586208","0.7407407407407407","0.8372093023255814","0.8823529411764706","0.8527918781725888","0.9370725034199726","0.8973175067598566","8","21","108","60","0.8046511627906977","0.9083073537502292","0.799366649314593","","0.7717391304347826","0.5639295711073764","0.8053691275167785","0.5452172138969306","0.7407407407407407","0.8823529411764706","0.8823529411764706","0.8372093023255814","0.5136677622795105","0.8358876117496807"
