"Name","Agent","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","beta1","beta2","corr_thr","drop_correlated","dropout_prob","gamma","hand","learning_rate","minority_oversample","model","momentum","num_buckets","num_epochs","num_trials","optimizer","patience","random_state","scaling_method","scheduler","seed","step_size","use_feature_scaling","use_scheduler","weight_decay","BS","ECE","FPR","NPV","PPV","TNR","TPR","accuracy","auroc","average_precision","confusion_matrix.fn","confusion_matrix.fp","confusion_matrix.tn","confusion_matrix.tp","dev_accuracy","dev_auroc","dev_balanced_accuracy","dev_ece","dev_f1","dev_loss","f1_score","loss","precision","recall","sensitivity","specificity","train_loss","weighted_accuracy"
"snowy-sweep-20","","finished","-","","","2024-04-29T22:38:28.000Z","10","ft_both_hands_baal_stats","256","0.9","0.999","0.95","no","0.24180259124462203","0.683941938387959","both","0.3081959128766984","no","ShallowANN","0.9206317439937552","20","87","1000","SGD","13","526","StandardScaler","reduce","563","18","yes","yes","0.0001","0.1861763451069042","0.06788817850443032","0.23741007194244604","0.828125","0.5875","0.762589928057554","0.6811594202898551","0.7355769230769231","0.770618287978313","0.5897046769611886","22","33","106","47","0.6832579185520362","0.7245503754147024","0.6738448844884488","0.07012023780140943","0.6195652173913043","0.6281332991241869","0.6308724832214765","0.5614253190847543","0.5875","0.6811594202898551","0.6811594202898551","0.762589928057554","0.6754522919654846","0.7078125"
"solar-sweep-19","","finished","-","","","2024-04-29T22:38:27.000Z","10","ft_both_hands_baal_stats","256","0.9","0.999","0.95","no","0.24180259124462203","0.683941938387959","both","0.3081959128766984","no","ShallowANN","0.9206317439937552","20","87","1000","SGD","13","526","StandardScaler","reduce","307","18","yes","yes","0.0001","0.19191028429936152","0.09160756692290303","0.2158273381294964","0.8134328358208955","0.5945945945945946","0.7841726618705036","0.6376811594202898","0.7355769230769231","0.7580022938171201","0.5545363891190858","25","30","109","44","0.6832579185520362","0.7215819800942901","0.6706019288327236","0.08807773153166965","0.6111111111111112","0.6306888355928308","0.6153846153846154","0.5758584095881536","0.5945945945945946","0.6376811594202898","0.6376811594202898","0.7841726618705036","0.5901694297790527","0.704013715207745"
"daily-sweep-18","","finished","-","","","2024-04-29T22:38:16.000Z","10","ft_both_hands_baal_stats","256","0.9","0.999","0.95","no","0.24180259124462203","0.683941938387959","both","0.3081959128766984","no","ShallowANN","0.9206317439937552","20","87","1000","SGD","13","526","StandardScaler","reduce","778","18","yes","yes","0.0001","0.19295869583678577","0.08030393719673158","0.2158273381294964","0.8257575757575758","0.6052631578947368","0.7841726618705036","0.6666666666666666","0.7451923076923077","0.7446564487540401","0.5892494299784012","23","30","109","46","0.7104072398190046","0.7325825039287586","0.7028961658713181","0.07514597226052262","0.6559139784946236","0.6118266248055713","0.6344827586206897","0.5765005992009089","0.6052631578947368","0.6666666666666666","0.6666666666666666","0.7841726618705036","0.5814152956008911","0.7155103668261563"
"jolly-sweep-17","","finished","-","","","2024-04-29T22:38:13.000Z","9","ft_both_hands_baal_stats","256","0.9","0.999","0.95","no","0.24180259124462203","0.683941938387959","both","0.3081959128766984","no","ShallowANN","0.9206317439937552","20","87","1000","SGD","13","526","StandardScaler","reduce","731","18","yes","yes","0.0001","0.19550165483201856","0.09804987907409668","0.1942446043165468","0.8235294117647058","0.625","0.8057553956834532","0.6521739130434783","0.7548076923076923","0.73621103117506","0.6027424757279818","24","27","112","45","0.6877828054298643","0.7240265409463942","0.6775619834710744","0.11866350573112525","0.6229508196721312","0.6236623358402856","0.6382978723404256","0.5844747469975398","0.625","0.6521739130434783","0.6521739130434783","0.8057553956834532","0.4986739456653595","0.7242647058823529"
"toasty-sweep-16","","finished","-","","","2024-04-29T22:38:12.000Z","12","ft_both_hands_baal_stats","256","0.9","0.999","0.95","no","0.24180259124462203","0.683941938387959","both","0.3081959128766984","no","ShallowANN","0.9206317439937552","20","87","1000","SGD","13","526","StandardScaler","reduce","742","18","yes","yes","0.0001","0.20377889767828175","0.10054405377461362","0.20863309352517984","0.7971014492753623","0.5857142857142857","0.7913669064748201","0.5942028985507246","0.7259615384615384","0.7072255239286831","0.5285325972353662","28","29","110","41","0.6832579185520362","0.6954775624236075","0.6642219934808715","0.09313202093089867","0.5882352941176471","0.6413610812226033","0.5899280575539568","0.603355334355281","0.5857142857142857","0.5942028985507246","0.5942028985507246","0.7913669064748201","0.6154792904853821","0.6914078674948241"
"winter-sweep-15","","finished","-","","","2024-04-29T22:38:12.000Z","9","ft_both_hands_baal_stats","256","0.9","0.999","0.95","no","0.24180259124462203","0.683941938387959","both","0.3081959128766984","no","ShallowANN","0.9206317439937552","20","87","1000","SGD","13","526","StandardScaler","reduce","901","18","yes","yes","0.0001","0.1904841232414753","0.08411449996324685","0.2158273381294964","0.8195488721804511","0.6","0.7841726618705036","0.6521739130434783","0.7403846153846154","0.7446564487540401","0.5583502324822954","24","30","109","45","0.6787330316742082","0.7274314649903965","0.6684297520661158","0.07777963126946358","0.6120218579234973","0.618010438944959","0.625","0.5733527403611404","0.6","0.6521739130434783","0.6521739130434783","0.7841726618705036","1.095393419265747","0.7097744360902256"
"zany-sweep-14","","finished","-","","","2024-04-29T22:38:00.000Z","10","ft_both_hands_baal_stats","256","0.9","0.999","0.95","no","0.24180259124462203","0.683941938387959","both","0.3081959128766984","no","ShallowANN","0.9206317439937552","20","87","1000","SGD","13","526","StandardScaler","reduce","852","18","yes","yes","0.0001","0.2054008552615814","0.09072639907781894","0.2517985611510791","0.8","0.5512820512820513","0.7482014388489209","0.6231884057971014","0.7067307692307693","0.7200500469189867","0.5591342738738917","26","35","104","43","0.665158371040724","0.6993190151911995","0.6464930200885257","0.08848663773471954","0.5697674418604651","0.6381376792942237","0.5850340136054422","0.6064862471360427","0.5512820512820513","0.6231884057971014","0.6231884057971014","0.7482014388489209","0.47730618715286255","0.6756410256410257"
"magic-sweep-13","","finished","-","","","2024-04-29T22:37:48.000Z","10","ft_both_hands_baal_stats","256","0.9","0.999","0.95","no","0.24180259124462203","0.683941938387959","both","0.3081959128766984","no","ShallowANN","0.9206317439937552","20","87","1000","SGD","13","526","StandardScaler","reduce","553","18","yes","yes","0.0001","0.179192779691873","0.09050908111608943","0.22302158273381295","0.8181818181818182","0.5921052631578947","0.7769784172661871","0.6521739130434783","0.7355769230769231","0.7878219163799395","0.6349500132838511","24","31","108","45","0.6787330316742082","0.7282172166928584","0.6684297520661158","0.1008360758086675","0.6120218579234973","0.6194124523870546","0.6206896551724138","0.5429123731759878","0.5921052631578947","0.6521739130434783","0.6521739130434783","0.7769784172661871","1.0587518215179443","0.7051435406698565"
"floral-sweep-12","","finished","-","","","2024-04-29T22:37:46.000Z","11","ft_both_hands_baal_stats","256","0.9","0.999","0.95","no","0.24180259124462203","0.683941938387959","both","0.3081959128766984","no","ShallowANN","0.9206317439937552","20","87","1000","SGD","13","526","StandardScaler","reduce","839","18","yes","yes","0.0001","0.1897957692099221","0.08329656376288488","0.2446043165467626","0.8267716535433071","0.5802469135802469","0.7553956834532374","0.6811594202898551","0.7307692307692307","0.7634240433739965","0.5713141795575983","22","34","105","47","0.6877828054298643","0.7252488213724464","0.6759581881533101","0.059185354418344625","0.6187845303867403","0.6234302779668057","0.6266666666666667","0.5685239571791428","0.5802469135802469","0.6811594202898551","0.6811594202898551","0.7553956834532374","1.1105260848999023","0.703509283561777"
"balmy-sweep-11","","finished","-","","","2024-04-29T22:37:45.000Z","10","ft_both_hands_baal_stats","256","0.9","0.999","0.95","no","0.24180259124462203","0.683941938387959","both","0.3081959128766984","no","ShallowANN","0.9206317439937552","20","87","1000","SGD","13","526","StandardScaler","reduce","157","18","yes","yes","0.0001","0.1862981628546039","0.07327250763773917","0.2158273381294964","0.8257575757575758","0.6052631578947368","0.7841726618705036","0.6666666666666666","0.7451923076923077","0.7615472839120009","0.5716502942522755","23","30","109","46","0.6832579185520362","0.7268203247773704","0.6721725451233648","0.09549722547444822","0.6153846153846154","0.6211148085097922","0.6344827586206897","0.5626311302185059","0.6052631578947368","0.6666666666666666","0.6666666666666666","0.7841726618705036","0.4981196224689483","0.7155103668261563"
"glamorous-sweep-10","","finished","-","","","2024-04-29T22:37:44.000Z","10","ft_both_hands_baal_stats","256","0.9","0.999","0.95","no","0.24180259124462203","0.683941938387959","both","0.3081959128766984","no","ShallowANN","0.9206317439937552","20","87","1000","SGD","13","526","StandardScaler","reduce","408","18","yes","yes","0.0001","0.2001884231536952","0.08689081640197682","0.2589928057553957","0.7923076923076923","0.5384615384615384","0.7410071942446043","0.6086956521739131","0.6971153846153846","0.7361067667605047","0.5519002953222185","27","36","103","42","0.6787330316742082","0.7262091845643444","0.6760078662733531","0.07474770400319164","0.6282722513089005","0.6355193125176753","0.5714285714285714","0.5944885473984939","0.5384615384615384","0.6086956521739131","0.6086956521739131","0.7410071942446043","0.6579989194869995","0.6653846153846154"
"dainty-sweep-9","","finished","-","","","2024-04-29T22:37:32.000Z","10","ft_both_hands_baal_stats","256","0.9","0.999","0.95","no","0.24180259124462203","0.683941938387959","both","0.3081959128766984","no","ShallowANN","0.9206317439937552","20","87","1000","SGD","13","526","StandardScaler","reduce","329","18","yes","yes","0.0001","0.18718534287139243","0.07329240355354089","0.22302158273381295","0.8503937007874016","0.6172839506172839","0.7769784172661871","0.7246376811594203","0.7596153846153846","0.7665519758106559","0.6044049381831553","19","31","108","50","0.665158371040724","0.7317094464815784","0.6538748137108792","0.08684806235775147","0.5934065934065934","0.6225755786464225","0.6666666666666666","0.5646519660949707","0.6172839506172839","0.7246376811594203","0.7246376811594203","0.7769784172661871","0.4898110032081604","0.7338388257023427"
"neat-sweep-8","","finished","-","","","2024-04-29T22:37:31.000Z","10","ft_both_hands_baal_stats","256","0.9","0.999","0.95","no","0.24180259124462203","0.683941938387959","both","0.3081959128766984","no","ShallowANN","0.9206317439937552","20","87","1000","SGD","13","526","StandardScaler","reduce","503","18","yes","yes","0.0001","0.19085823300703655","0.08388165642435734","0.2158273381294964","0.8014705882352942","0.5833333333333334","0.7841726618705036","0.6086956521739131","0.7259615384615384","0.7485142320925868","0.5707723149065903","27","30","109","42","0.6787330316742082","0.7147721320062861","0.6701680672268908","0.09105182287380166","0.6162162162162163","0.6294393409970659","0.5957446808510638","0.5727751805232122","0.5833333333333334","0.6086956521739131","0.6086956521739131","0.7841726618705036","0.4754267930984497","0.6924019607843137"
"azure-sweep-7","","finished","-","","","2024-04-29T22:37:30.000Z","9","ft_both_hands_baal_stats","256","0.9","0.999","0.95","no","0.24180259124462203","0.683941938387959","both","0.3081959128766984","no","ShallowANN","0.9206317439937552","20","87","1000","SGD","13","526","StandardScaler","reduce","954","18","yes","yes","0.0001","0.2049649686607977","0.07777146421946012","0.26618705035971224","0.796875","0.5375","0.7338129496402878","0.6231884057971014","0.6971153846153846","0.7244291523303097","0.5757614811600739","26","37","102","43","0.6832579185520362","0.7259472673301903","0.6721725451233648","0.07297755582300246","0.6153846153846154","0.619052869701817","0.5771812080536913","0.6050941393925593","0.5375","0.6231884057971014","0.6231884057971014","0.7338129496402878","1.0898252725601196","0.6671875"
"golden-sweep-6","","finished","-","","","2024-04-29T22:37:29.000Z","9","ft_both_hands_baal_stats","256","0.9","0.999","0.95","no","0.24180259124462203","0.683941938387959","both","0.3081959128766984","no","ShallowANN","0.9206317439937552","20","87","1000","SGD","13","526","StandardScaler","reduce","406","18","yes","yes","0.0001","0.1924141706654304","0.060254087241796345","0.23741007194244604","0.8412698412698413","0.5975609756097561","0.762589928057554","0.7101449275362319","0.7451923076923077","0.7571681785006776","0.5600379463942438","20","33","106","49","0.6787330316742082","0.7237646237122402","0.66525","0.06900183000176204","0.6033519553072626","0.6224175362565398","0.6490066225165563","0.5765570860642654","0.5975609756097561","0.7101449275362319","0.7101449275362319","0.762589928057554","0.5225024223327637","0.7194154084397987"
"trim-sweep-5","","finished","-","","","2024-04-29T22:37:18.000Z","11","ft_both_hands_baal_stats","256","0.9","0.999","0.95","no","0.24180259124462203","0.683941938387959","both","0.3081959128766984","no","ShallowANN","0.9206317439937552","20","87","1000","SGD","13","526","StandardScaler","reduce","893","18","yes","yes","0.0001","0.19614001966495073","0.09802903750768074","0.2302158273381295","0.816793893129771","0.5844155844155844","0.7697841726618705","0.6521739130434783","0.7307692307692307","0.7355854446877281","0.5780342882172133","24","32","107","45","0.7013574660633484","0.7187008905185961","0.687593984962406","0.07816571428764997","0.6292134831460674","0.6260034897748161","0.6164383561643836","0.5865020018357497","0.5844155844155844","0.6521739130434783","0.6521739130434783","0.7697841726618705","0.514570951461792","0.7006047387726777"
"devoted-sweep-4","","finished","-","","","2024-04-29T22:37:17.000Z","11","ft_both_hands_baal_stats","256","0.9","0.999","0.95","no","0.24180259124462203","0.683941938387959","both","0.3081959128766984","no","ShallowANN","0.9206317439937552","20","87","1000","SGD","13","526","StandardScaler","reduce","611","18","yes","yes","0.0001","0.1970127462196442","0.08453134218087562","0.22302158273381295","0.8059701492537313","0.581081081081081","0.7769784172661871","0.6231884057971014","0.7259615384615384","0.7342300072985091","0.576033427996528","26","31","108","43","0.6968325791855203","0.7231534834992142","0.6836666666666666","0.09440834462912376","0.6256983240223464","0.6166894144601951","0.6013986013986014","0.5862171466533954","0.581081081081081","0.6231884057971014","0.6231884057971014","0.7769784172661871","1.0796544551849363","0.6935256151674062"
"vital-sweep-3","","finished","-","","","2024-04-29T22:37:16.000Z","11","ft_both_hands_baal_stats","256","0.9","0.999","0.95","no","0.24180259124462203","0.683941938387959","both","0.3081959128766984","no","ShallowANN","0.9206317439937552","20","87","1000","SGD","13","526","StandardScaler","reduce","921","18","yes","yes","0.0001","0.19411551493122373","0.14417037683037606","0.2446043165467626","0.7777777777777778","0.5342465753424658","0.7553956834532374","0.5652173913043478","0.6923076923076923","0.7496611406526952","0.5807225524856624","30","34","105","39","0.6832579185520362","0.7245503754147022","0.6738448844884488","0.06405392194765186","0.6195652173913043","0.6276714618389423","0.5492957746478874","0.5793481973501352","0.5342465753424658","0.5652173913043478","0.5652173913043478","0.7553956834532374","0.5562030076980591","0.6560121765601218"
"drawn-sweep-2","","finished","-","","","2024-04-29T22:37:15.000Z","11","ft_both_hands_baal_stats","256","0.9","0.999","0.95","no","0.24180259124462203","0.683941938387959","both","0.3081959128766984","no","ShallowANN","0.9206317439937552","20","87","1000","SGD","13","526","StandardScaler","reduce","936","18","yes","yes","0.0001","0.1926766995030251","0.07467963689794904","0.2517985611510791","0.8524590163934426","0.5930232558139535","0.7482014388489209","0.7391304347826086","0.7451923076923077","0.7770826816807425","0.6408600787004328","18","35","104","51","0.6561085972850679","0.7314475292474245","0.6483462234655257","0.11572497327942656","0.5913978494623656","0.6292756369750424","0.6580645161290323","0.5745511788588303","0.5930232558139535","0.7391304347826086","0.7391304347826086","0.7482014388489209","0.6740063428878784","0.7227411361036981"
"rosy-sweep-1","","finished","-","","","2024-04-29T22:36:48.000Z","11","ft_both_hands_baal_stats","256","0.9","0.999","0.95","no","0.24180259124462203","0.683941938387959","both","0.3081959128766984","no","ShallowANN","0.9206317439937552","20","87","1000","SGD","13","526","StandardScaler","reduce","226","18","yes","yes","0.0001","0.19061463025050465","0.09495709377985732","0.20863309352517984","0.8333333333333334","0.618421052631579","0.7913669064748201","0.6811594202898551","0.7548076923076923","0.7514336357001355","0.5912628087171898","22","29","110","47","0.6877828054298643","0.7221058145625983","0.6744583333333334","0.08876824891405406","0.6145251396648045","0.6267267287586609","0.6482758620689655","0.574345588684082","0.618421052631579","0.6811594202898551","0.6811594202898551","0.7913669064748201","0.5646139979362488","0.7258771929824561"
