FS_Method,Classifier,N_Features,Category,MAE,Spearman,Kappa,AAcc,MAE_CI_lo,MAE_CI_hi,Spearman_CI_lo,Spearman_CI_hi,Kappa_CI_lo,Kappa_CI_hi,AAcc_CI_lo,AAcc_CI_hi,norm_MAE,norm_Spearman,norm_Kappa,norm_AAcc,Composite
Gradient Boosting,SVR(rbf),8,embedded,0.49056603773584906,0.5676744835954377,0.41151977793199157,0.9811320754716981,0.33962264150943394,0.660377358490566,0.3796921676004234,0.7402059434675218,0.24438763651577178,0.6112537282863324,0.9433962264150944,1.0,0.5384615384615384,0.5112259038526763,0.2589513018506943,1.0,0.5771596860412272
Gradient Boosting,RandomForest-R,8,embedded,0.4528301886792453,0.6779991697387355,0.5889021479713603,0.9811320754716981,0.3018867924528302,0.5853773584905635,0.5216584754763499,0.7993871914644681,0.4638713422999932,0.7026975956505436,0.9433962264150944,1.0,0.6923076923076923,0.8502309040809698,0.8019606089874604,1.0,0.8361248013440306
Stability Selection,KNN-reg(k=5),3,embedded,0.5660377358490566,0.6091318185262355,0.5301939058171745,0.9811320754716981,0.4339622641509434,0.6981132075471698,0.4400308211257519,0.7416882165487965,0.4044943820224719,0.6303823330944038,0.9433962264150944,1.0,0.23076923076923073,0.6386157413313425,0.622240821230162,1.0,0.6229064483326838
Stability Selection,SVR(rbf),3,embedded,0.5283018867924528,0.5675631131000599,0.46787148594377514,0.9811320754716981,0.39622641509433965,0.6792452830188679,0.39413973722913603,0.721903046626488,0.34212076989707196,0.5783660902760596,0.9433962264150944,1.0,0.3846153846153846,0.5108836852964237,0.4314571823204423,1.0,0.5817390630580627
Stability Selection,RandomForest-R,3,embedded,0.6226415094339622,0.4553689317286451,0.4291120815138283,0.9622641509433962,0.4716981132075472,0.7735849056603774,0.24669067979209822,0.6378943596904696,0.2521680720899471,0.5750121042677071,0.9056603773584906,1.0,0.0,0.16613411191419983,0.31280549591063744,0.5,0.2447349019562093
RFECV (RF),KNN-reg(k=5),24,wrapper,0.49056603773584906,0.5908730196007277,0.5339976553341149,0.9622641509433962,0.33962264150943394,0.660377358490566,0.39251824347453623,0.7567119888849886,0.3603079810901001,0.6825253627105095,0.9056603773584906,1.0,0.5384615384615384,0.582510219074335,0.6338849964052777,0.5,0.5637141884852879
RFECV (RF),SVR(rbf),24,wrapper,0.6226415094339622,0.4013027859718372,0.32692933897753174,0.9811320754716981,0.4716981132075472,0.7735849056603774,0.19269515424183817,0.5936328915083491,0.1545925792977418,0.5168970505625894,0.9433962264150944,1.0,0.0,0.0,0.0,1.0,0.25
RFECV (RF),RandomForest-R,24,wrapper,0.37735849056603776,0.7267395378457114,0.65359477124183,0.9811320754716981,0.24528301886792453,0.5283018867924528,0.5937018249509683,0.8406132192465592,0.5256197283454989,0.7803661537329789,0.9433962264150944,1.0,1.0,1.0,1.0,1.0,1.0
RFECV (SVR),KNN-reg(k=5),3,wrapper,0.49056603773584906,0.5766038509490911,0.4653665097511769,0.9622641509433962,0.33962264150943394,0.6419811320754691,0.36096183349919947,0.7496011367584972,0.2983933058401884,0.6033335485578362,0.9056603773584906,1.0,0.5384615384615384,0.5386640075770952,0.4237888588763763,0.5,0.5002286012287525
RFECV (SVR),SVR(rbf),3,wrapper,0.4716981132075472,0.5980589872916896,0.4791596069129108,0.9622641509433962,0.32075471698113206,0.6226415094339622,0.39158124372975683,0.76109674636829,0.31831829876518564,0.615133172103824,0.9056603773584906,1.0,0.6153846153846154,0.6045912153035098,0.4660127852530559,0.5,0.5464971539852953
RFECV (SVR),RandomForest-R,3,wrapper,0.5849056603773585,0.49373378885519625,0.45264089701976984,0.9622641509433962,0.4339622641509434,0.7358490566037735,0.27426702180846646,0.6631568063138614,0.2625648968150181,0.5881703858979865,0.9056603773584906,1.0,0.15384615384615385,0.284021403087201,0.3848327543286781,0.5,0.3306750778155082
Seq. Forward,KNN-reg(k=5),8,wrapper,0.39622641509433965,0.7136852359389704,0.6286932683521169,0.9811320754716981,0.2641509433962264,0.5471698113207547,0.5750044115828566,0.8335567221051983,0.5043722629343544,0.7545525046131604,0.9433962264150944,1.0,0.9230769230769231,0.9598868233794309,0.9237706214670252,1.0,0.9516835919808448
Seq. Forward,SVR(rbf),8,wrapper,0.49056603773584906,0.5862559264522516,0.43239625167336015,0.9811320754716981,0.33962264150943394,0.660377358490566,0.4085906481649389,0.7551642385572143,0.25885359029303784,0.6151057124164393,0.9433962264150944,1.0,0.5384615384615384,0.5683228443482453,0.3228591160220997,1.0,0.6074108747079708
Seq. Forward,RandomForest-R,8,wrapper,0.5471698113207547,0.5040532912443625,0.4388835418671799,0.9622641509433962,0.39622641509433965,0.6981132075471698,0.301631811293202,0.6852370700447987,0.271193014914715,0.5823922895115897,0.9056603773584906,1.0,0.3076923076923077,0.31573110498702095,0.3427182426791592,0.5,0.36653541383962196
Standard LASSO,KNN-reg(k=5),11,embedded,0.4716981132075472,0.5798023910066195,0.5402333233622495,0.9622641509433962,0.32075471698113206,0.6415094339622641,0.3545220174047227,0.744917714079891,0.33667181496883647,0.6944836174701631,0.9056603773584906,1.0,0.6153846153846154,0.5484924613061566,0.6529738482158649,0.5,0.5792127312266593
Standard LASSO,SVR(rbf),11,embedded,0.5471698113207547,0.46669042775132197,0.442775608290778,0.9433962264150944,0.3957547169811321,0.7169811320754716,0.22157665719387593,0.6645000348597857,0.22390891967806695,0.6187288297287286,0.8679245283018868,1.0,0.3076923076923077,0.2009227335357203,0.35463277675342597,0.0,0.2158119544953635
Standard LASSO,RandomForest-R,11,embedded,0.49056603773584906,0.5290221701619092,0.47975460122699387,0.9433962264150944,0.32075471698113206,0.660377358490566,0.2822786287413558,0.72595546836902,0.2538968029682604,0.658272403044869,0.8679245283018868,1.0,0.5384615384615384,0.3924553187513706,0.4678342033013594,0.0,0.3496877651285671
