FS_Method,Classifier,N_Features,Category,MAE,Spearman,Kappa,AAcc,MAE_CI_lo,MAE_CI_hi,Spearman_CI_lo,Spearman_CI_hi,Kappa_CI_lo,Kappa_CI_hi,AAcc_CI_lo,AAcc_CI_hi,norm_MAE,norm_Spearman,norm_Kappa,norm_AAcc,Composite
FCBF,MLP(8),2,filter,0.5471698113207547,0.5231376783877685,0.4330731425267419,0.9245283018867925,0.39622641509433965,0.7358490566037735,0.30593070047459725,0.7034357144193661,0.26869216536868223,0.5742672720922107,0.8490566037735849,0.9811320754716981,0.6571428571428573,0.4974223785869419,0.489896595533463,0.6666666666666666,0.5777821244824821
Variance Threshold,MLP(8),16,filter,0.5849056603773585,0.5207810556188771,0.466684797389176,0.9433962264150944,0.4339622641509434,0.7363207547169786,0.3000335220811397,0.7041530070166139,0.2885621385420515,0.6087546294897179,0.8867924528301887,1.0,0.6000000000000001,0.4922762781489862,0.5528616534227022,0.75,0.5987844828929221
LASSO (Standard),MLP(8),22,embedded,0.5471698113207547,0.500978598822661,0.4765040407063753,0.9622641509433962,0.39622641509433965,0.6981132075471698,0.28639969633719065,0.6828262179911502,0.2943739523188677,0.6246849595511784,0.9056603773584906,1.0,0.6571428571428573,0.4490341297080859,0.5712561426683652,0.8333333333333334,0.6276916157131605
ElasticNet,MLP(8),23,embedded,0.4339622641509434,0.6704475510487815,0.6574096241321523,0.9622641509433962,0.2830188679245283,0.5849056603773585,0.4821927537839098,0.8178401196160985,0.4475055313164066,0.7971686529089248,0.9056603773584906,1.0,0.8285714285714285,0.8190994031082047,0.9101484280827746,0.8333333333333334,0.8477881482739353
Adaptive LASSO,MLP(8),13,embedded,0.4528301886792453,0.6401764134431681,0.6431900569653031,0.9811320754716981,0.32075471698113206,0.6037735849056604,0.4555724761212229,0.7784975308999327,0.42740612571614117,0.7822046344564202,0.9433962264150944,1.0,0.8,0.7529970482697395,0.8835107670248761,0.9166666666666666,0.8382936204903205
LARS,MLP(8),21,embedded,0.7169811320754716,0.507144751746593,0.40526542943461374,0.9433962264150944,0.5471698113207547,0.9056603773584906,0.30797265443027694,0.6817989769656703,0.18699430810170664,0.6032317786320269,0.8679245283018868,1.0,0.40000000000000013,0.4624990094848674,0.4378041213075032,0.75,0.5125757826980927
RF Importance,MLP(8),6,embedded,0.7358490566037735,0.7532897867729252,0.5399468556244464,0.9056603773584906,0.5660377358490566,0.9056603773584906,0.6107526025305396,0.8543592909452157,0.40287322790413765,0.6540085739690183,0.8113207547169812,0.9811320754716981,0.37142857142857155,1.0,0.6901042187396589,0.5833333333333334,0.6612165308753909
Extra Trees,MLP(8),14,embedded,0.5660377358490566,0.59737053721265,0.57451078775715,0.9811320754716981,0.4339622641509434,0.6981132075471698,0.4219476671676571,0.7493616737802499,0.3983452642682521,0.6965669530562438,0.9433962264150944,1.0,0.6285714285714286,0.6595228862932028,0.7548531874090882,0.9166666666666666,0.7399035422350965
Gradient Boosting,MLP(8),5,embedded,0.4716981132075472,0.6324555320336759,0.6149375181633246,1.0,0.33962264150943394,0.6037735849056604,0.4551594636278387,0.7633462826262847,0.45476151798681363,0.7153869225258057,1.0,1.0,0.7714285714285714,0.7361371453072116,0.8305849962330085,1.0,0.8345376782421978
XGBoost,MLP(8),9,embedded,0.32075471698113206,0.7228991446507727,0.6775536343259687,0.9811320754716981,0.18867924528301888,0.4716981132075472,0.5590633522533884,0.8650850273256857,0.488524967512223,0.8197769306780865,0.9433962264150944,1.0,1.0,0.9336366860241547,0.9478844090443268,0.9166666666666666,0.949546940433787
