llm,ml,system,alpha,MAE,Spearman,Kappa,Kappa_CI_lo,Kappa_CI_hi,AAcc
qwen2.5_72b,RandomForest,Only LLM,1.0,0.5283018867924528,0.5213614960581507,0.5406021897810218,0.30873681745768833,0.7215108613041026,0.9056603773584906
qwen2.5_72b,RandomForest,Ens a=0.35,0.35,0.5094339622641509,0.5990587970380673,0.6109845608706657,0.41561197770626446,0.7377025627657245,0.9811320754716981
qwen2.5_72b,ExtraTrees,Only ML,0.0,0.5471698113207547,0.5817406117350928,0.5064583959146891,0.38072870081976495,0.6146954815857438,0.9811320754716981
qwen2.5_72b,ExtraTrees,Only LLM,1.0,0.5283018867924528,0.5213614960581507,0.5406021897810218,0.2962139435403277,0.733145333920357,0.9056603773584906
qwen2.5_72b,ExtraTrees,Ens a=0.45,0.45,0.4528301886792453,0.6262386337481815,0.6415458937198069,0.43323043108983267,0.7832737389366061,0.9622641509433962
qwen2.5_72b,SVR,Only ML,0.0,0.6037735849056604,0.4185676025610635,0.3148028442146089,0.1411030372985214,0.5067602787067226,0.9622641509433962
qwen2.5_72b,SVR,Only LLM,1.0,0.5283018867924528,0.5213614960581507,0.5406021897810218,0.30767481523592954,0.7227742309256465,0.9056603773584906
qwen2.5_72b,SVR,Ens a=1.00,1.0,0.5283018867924528,0.5213614960581507,0.5406021897810218,0.29931678866559924,0.7293731990816897,0.9056603773584906
qwen2.5_72b,Ridge,Only ML,0.0,0.5283018867924528,0.5593348276648207,0.5538720538720538,0.3537859967204665,0.6922427208491556,0.9811320754716981
qwen2.5_72b,Ridge,Only LLM,1.0,0.5283018867924528,0.5213614960581507,0.5406021897810218,0.29091332811499315,0.73453153729811,0.9056603773584906
qwen2.5_72b,Ridge,Ens a=0.40,0.4,0.41509433962264153,0.60262893628811,0.635063559322034,0.4114813754922004,0.7945406031506193,0.9622641509433962
qwen2.5_72b,KNN,Only ML,0.0,0.5283018867924528,0.5373155830102608,0.47975460122699387,0.29744341144225966,0.6302358643577204,0.9622641509433962
qwen2.5_72b,KNN,Only LLM,1.0,0.5283018867924528,0.5213614960581507,0.5406021897810218,0.29782446752960356,0.7223919685726756,0.9056603773584906
qwen2.5_72b,KNN,Ens a=0.55,0.55,0.5283018867924528,0.5042212884348095,0.5441949354992834,0.2937151761479514,0.7323291912895652,0.9245283018867925
qwen2.5_72b,KNN-clf,Only ML,0.0,0.39622641509433965,0.6395542087978755,0.6305189775367932,0.4293714079827514,0.7988163656807808,0.9433962264150944
qwen2.5_72b,KNN-clf,Only LLM,1.0,0.5283018867924528,0.5213614960581507,0.5406021897810218,0.2946632438233129,0.7236896463856956,0.9056603773584906
qwen2.5_72b,KNN-clf,Ens a=0.00,0.0,0.39622641509433965,0.6395542087978755,0.6305189775367932,0.42656999957970837,0.7923761899265044,0.9433962264150944
