llm,ml,alpha,MAE,Spearman,Kappa,AAcc
deepseek-r1_70b,KNN-clf,0.8,0.6037735849056604,0.5668666365087462,0.5763765541740675,0.9622641509433962
deepseek-r1_70b,KNN-clf,0.85,0.6037735849056604,0.5668666365087462,0.5763765541740675,0.9622641509433962
deepseek-r1_70b,KNN-clf,0.9,0.6037735849056604,0.5668666365087462,0.5763765541740675,0.9622641509433962
deepseek-r1_70b,KNN-clf,0.95,0.6037735849056604,0.5668666365087462,0.5763765541740675,0.9622641509433962
deepseek-r1_70b,KNN-clf,1.0,0.6226415094339622,0.5531769981394575,0.5668212944554893,0.9622641509433962
qwen2.5_72b,GradientBoosting,0.0,0.41509433962264153,0.6891081769708869,0.6641705069124424,1.0
qwen2.5_72b,GradientBoosting,0.05,0.41509433962264153,0.6891081769708869,0.6641705069124424,1.0
qwen2.5_72b,GradientBoosting,0.1,0.4528301886792453,0.6726087856771649,0.6384309266628767,1.0
qwen2.5_72b,GradientBoosting,0.15,0.4716981132075472,0.6583742423017708,0.6142649199417758,1.0
qwen2.5_72b,GradientBoosting,0.2,0.4716981132075472,0.6829334326467118,0.6306105380540843,1.0
qwen2.5_72b,GradientBoosting,0.25,0.4528301886792453,0.688822928843695,0.6671899529042387,1.0
qwen2.5_72b,GradientBoosting,0.3,0.4339622641509434,0.6639310045522352,0.6553966189856957,0.9811320754716981
qwen2.5_72b,GradientBoosting,0.35,0.41509433962264153,0.6900324827741285,0.671147880041365,0.9811320754716981
qwen2.5_72b,GradientBoosting,0.4,0.41509433962264153,0.6900324827741285,0.671147880041365,0.9811320754716981
qwen2.5_72b,GradientBoosting,0.45,0.4528301886792453,0.6075971066295991,0.6221995926680245,0.9622641509433962
qwen2.5_72b,GradientBoosting,0.5,0.4528301886792453,0.6262386337481815,0.6415458937198069,0.9622641509433962
qwen2.5_72b,GradientBoosting,0.55,0.4716981132075472,0.611698258183981,0.6307950996877252,0.9622641509433962
qwen2.5_72b,GradientBoosting,0.6,0.5283018867924528,0.5352898329124071,0.5601659751037344,0.9245283018867925
qwen2.5_72b,GradientBoosting,0.65,0.5283018867924528,0.5352898329124071,0.5601659751037344,0.9245283018867925
qwen2.5_72b,GradientBoosting,0.7,0.5471698113207547,0.49624444417429997,0.5260261407933962,0.9056603773584906
qwen2.5_72b,GradientBoosting,0.75,0.5471698113207547,0.49624444417429997,0.5260261407933962,0.9056603773584906
qwen2.5_72b,GradientBoosting,0.8,0.5471698113207547,0.49624444417429997,0.5260261407933962,0.9056603773584906
qwen2.5_72b,GradientBoosting,0.85,0.5471698113207547,0.49624444417429997,0.5260261407933962,0.9056603773584906
qwen2.5_72b,GradientBoosting,0.9,0.5471698113207547,0.49624444417429997,0.5260261407933962,0.9056603773584906
qwen2.5_72b,GradientBoosting,0.95,0.5471698113207547,0.49624444417429997,0.5260261407933962,0.9056603773584906
qwen2.5_72b,GradientBoosting,1.0,0.5283018867924528,0.5213614960581507,0.5406021897810218,0.9056603773584906
